한국고용직업분류 대분류코드,한국고용직업분류 대분류명,한국고용직업분류 중분류코드,한국고용직업분류 중분류명,한국고용직업분류 소분류코드,한국고용직업분류 소분류명,한국고용직업분류 세분류코드,한국고용직업분류 세분류명,한국표준직업분류 세분류코드,한국표준직업분류 세분류명,loofio_archetype,archetype_family,support_level,mapping_note
0,경영·사무·금융·보험직,01,관리직(임원·부서장),011,의회의원·고위공무원 및 기업 고위임원,0111,의회의원·고위공무원 및 공공단체임원,1110,의회의원·고위공무원 및 공공단체임원,NONCOMMERCIAL_OR_PUBLIC_ROLE,NONCOMMERCIAL_PUBLIC,D,공공·고용 역할 성격이 강해 사업 업종으로 직접 매핑하지 않음
0,경영·사무·금융·보험직,01,관리직(임원·부서장),011,의회의원·고위공무원 및 기업 고위임원,0112,기업 고위임원,1120,기업 고위 임원,BUSINESS_ADMIN_B2B,LEAD_SERVICE,C,관리 직무 자체는 사업 업종이 아니므로 실제 수익모델 확인 필요
0,경영·사무·금융·보험직,01,관리직(임원·부서장),012,행정·경영·금융·보험 관리자,0121,정부행정 관리자,1211,정부행정 관리자,NONCOMMERCIAL_OR_PUBLIC_ROLE,NONCOMMERCIAL_PUBLIC,D,공공·고용 역할 성격이 강해 사업 업종으로 직접 매핑하지 않음
0,경영·사무·금융·보험직,01,관리직(임원·부서장),012,행정·경영·금융·보험 관리자,0122,경영지원 관리자,1212,경영 지원 관리자,BUSINESS_ADMIN_B2B,LEAD_SERVICE,C,관리 직무 자체는 사업 업종이 아니므로 실제 수익모델 확인 필요
0,경영·사무·금융·보험직,01,관리직(임원·부서장),012,행정·경영·금융·보험 관리자,0123,마케팅·광고·홍보 관리자,1220,마케팅 및 광고·홍보 관리자,LEAD_PROFESSIONAL_SERVICE,LEAD_SERVICE,C,마케팅·광고 서비스업으로 가능하나 직업 자체는 업종 아님
0,경영·사무·금융·보험직,01,관리직(임원·부서장),012,행정·경영·금융·보험 관리자,0124,금융·보험 관리자,1320,보험 및 금융 관리자,LEAD_PROFESSIONAL_SERVICE,LEAD_SERVICE,C,금융·보험 서비스업으로 가능하나 규제 검토 필요
0,경영·사무·금융·보험직,01,관리직(임원·부서장),013,전문서비스 관리자,0131,연구 관리자,1311,연구 관리자,PROJECT_TECH_B2B,PROJECT_SERVICE,C,연구·R&D 사업으로 확장 가능
0,경영·사무·금융·보험직,01,관리직(임원·부서장),013,전문서비스 관리자,0132,교육 관리자,1312,교육 관리자,MEMBERSHIP_EDUCATION,MEMBERSHIP_SERVICE,C,교육기관 운영형으로 적용 가능하나 기관 데이터 모델 필요
0,경영·사무·금융·보험직,01,관리직(임원·부서장),013,전문서비스 관리자,0133,법률·경찰·소방·교도 관리자,1313,법률·경찰·소방 및 교도 관리자,BUSINESS_ADMIN_B2B,LEAD_SERVICE,C,관리 직무 자체는 사업 업종이 아니므로 실제 수익모델 확인 필요
0,경영·사무·금융·보험직,01,관리직(임원·부서장),013,전문서비스 관리자,0134,보건·의료 관리자,1331,보건 의료 관련 관리자,APPOINTMENT_HEALTH,APPOINTMENT_SERVICE,C,보건·의료 기관 운영 가능하나 규제·데이터 제약 검토 필요
